Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Etiquetas,Etiquetas,Etiquetas,Etiquetas,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace de incidencia saliente (Blocks),Campo personalizado (Clasificación),Campo personalizado (Color de la incidencia),Campo personalizado (Fecha de inicio),Sprint,Sprint,Campo personalizado (Story point estimate),Campo personalizado (Team),Campo personalizado (Vulnerabilidad),Campo personalizado (development),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
TAREA 1.1.2 — Modelado ER y script DDL en PostgreSQL Campo,SE-9,10192,Tarea,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,Medium,Listo,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,12/jun/26 12:41 AM,12/jun/26 11:01 AM,12/jun/26 10:49 AM,12/jun/26 11:01 AM,,0,backend,database,infra,,"Diseñar el modelo de datos completo e implementarlo como script DDL ejecutable en Supabase con arquitectura multi-tenant. Tablas a crear: tenants, usuarios, estudiantes, cursos, incidentes, tipos_abordaje, protocolos_rice, auditoria, apoderados, funcionarios, entrevistas_funcionarios. Subtareas: (1) Crear diagrama ER en [http://dbdiagram.io|http://dbdiagram.io|smart-link]  y exportar a /docs del repo. (2) Escribir schema.sql con CREATE TABLE, PKs, FKs e índices. (3) Asegurar tenant_id UUID NOT NULL REFERENCES tenants(id) en todas las tablas principales. (4) Índices en: tenant_id, estudiante_id, fecha, estado. (5) Seed de tipos_abordaje con los 7 tipos definidos. (6) Ejecutar en Supabase y verificar.

Criterios de Aceptación- 
Diagrama ER publicado en /docs del repositorio backend. - schema.sql ejecutado sin errores en Supabase. - Todas las tablas tienen columna tenant_id con FK a tenants. - tipos_abordaje pre-poblada con: Entrevista, Indagación/Denuncia, Contención, Mediación, Conflicto/Incidente puntual, Proceso Administrativo, Derivación. - SELECT table_name FROM information_schema.tables WHERE table_schema = 'public' retorna las 11 tablas.",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,,,,,SE-6,0|i0005b:,,,SE Sprint 1,,5.0,,,,Listo,12/jun/26 11:01 AM,10187,SE-4,ÉPICA 1: Infraestructura y Core del Sistema
TAREA 1.1.3 — Setup Supabase y RLS base,SE-10,10193,Tarea,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,Medium,Listo,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,12/jun/26 12:43 AM,12/jun/26 11:08 AM,12/jun/26 12:57 AM,12/jun/26 11:08 AM,,0,backend,database,seguridad,,"Configurar el proyecto en Supabase, habilitar Row Level Security en todas las tablas y definir la política base de aislamiento por tenant. Subtareas: (1) Crear proyecto en Supabase y obtener credenciales. (2) Ejecutar schema.sql en el SQL Editor. (3) Habilitar RLS: ALTER TABLE <tabla> ENABLE ROW LEVEL SECURITY en las 11 tablas. (4) Crear política RLS base: USING (tenant_id = current_setting('app.tenant_id')::uuid). (5) Crear función helper en PostgreSQL para establecer tenant_id de sesión. (6) Insertar tenant de prueba: Escuela El Salvador. (7) Insertar usuario administrador inicial con contraseña hasheada (bcrypt, coste 10).

Criterios de Aceptación- 
Proyecto Supabase activo y accesible con URL pública. - RLS habilitado en las 11 tablas (verificable en panel Supabase → Table Editor). - Consulta sin app.tenant_id configurado retorna 0 filas (aislamiento verificado). - Tenant ""Escuela El Salvador"" insertado en tabla tenants. - Credenciales documentadas de forma segura (fuera del repositorio).",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,,,,,SE-6,0|i0005j:,,,SE Sprint 1,,3.0,,,,Listo,12/jun/26 11:08 AM,10187,SE-4,ÉPICA 1: Infraestructura y Core del Sistema
TAREA 1.1.4 — Definición del contrato de API (JSON Contract),SE-11,10194,Tarea,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,Medium,Listo,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,12/jun/26 12:45 AM,12/jun/26 11:15 AM,12/jun/26 11:08 AM,12/jun/26 11:15 AM,,0,backend,documentation,frontend,,"Definir y documentar el contrato de respuestas JSON que usará el backend para que el frontend pueda desarrollar en paralelo sin bloqueos. Subtareas: (1) Documentar estructura de respuesta exitosa: { data, message, status }. (2) Documentar estructura de respuesta de error: { error, message, statusCode }. (3) Definir los endpoints del Sprint 1: POST /auth/login, GET /auth/me. (4) Publicar en /docs/api-contract.md del repo backend.

Criterios de Aceptación- 
Documento api-contract.md publicado en el repo y accesible para Daniel. - Estructura de respuesta acordada y seguida en todos los endpoints del Sprint 1. - Frontend puede mockear respuestas sin depender del servidor real.",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,,,,,SE-6,0|i0005r:,,,SE Sprint 1,,1.0,,,,Listo,12/jun/26 11:15 AM,10187,SE-4,ÉPICA 1: Infraestructura y Core del Sistema
TAREA 1.2.1 — Servidor Node/Express y middlewares base,SE-12,10195,Tarea,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,Medium,Listo,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,12/jun/26 12:48 AM,12/jun/26 11:49 AM,12/jun/26 11:16 AM,12/jun/26 11:49 AM,,0,backend,seguridad,setup,,"Crear la estructura base del servidor Node.js con Express. Dependencias producción: express, cors, helmet, dotenv, pg, @supabase/supabase-js. Dependencias dev: nodemon, eslint. Estructura de carpetas: /src/controllers, /src/middlewares, /src/routes, /src/services, /src/models, /src/utils, app.js, server.js. Subtareas: (1) npm init e instalar dependencias. (2) Configurar app.js con middlewares cors (whitelist), helmet, express.json() y manejo global de errores. (3) Crear GET /api/v1/health → { status: 'ok', timestamp }. (4) Configurar conexión a Supabase/PostgreSQL con variables de entorno. (5) Estructurar sistema de rutas con prefijo /api/v1. (6) Configurar ESLint.

Criterios de Aceptación- 
npm run dev inicia sin errores. - GET /api/v1/health responde 200 OK con { status: 'ok', timestamp }. - Headers de seguridad presentes: X-Content-Type-Options, X-Frame-Options, Strict-Transport-Security. - CORS acepta localhost:5173 y rechaza orígenes no listados. - Conexión a Supabase verificada al iniciar (query de prueba exitoso).",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,,,,,SE-5,0|i0005z:,,,SE Sprint 1,,3.0,,,,Listo,12/jun/26 11:49 AM,10187,SE-4,ÉPICA 1: Infraestructura y Core del Sistema
HU 2.4 – Protocolos RICE,SE-25,10272,Historia,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,High,Listo,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,17/jun/26 12:38 PM,18/jun/26 1:08 PM,18/jun/26 1:08 PM,18/jun/26 1:08 PM,,0,backend,frontend,protocolos,RICE,"|*Descripción*|*Como* coordinador de convivencia, *quiero* abrir y gestionar protocolos normativos RICE paso a paso *para* cumplir con las exigencias de la Superintendencia de Educación en los 10 tipos de protocolo definidos.|
|*Criterios de Aceptación*|* Se pueden abrir los 10 tipos de protocolo normativo definidos (RF-08). - Cada protocolo queda vinculado a un estudiante y opcionalmente a un incidente origen. - Los estados son trazables: En Investigación → Derivado → Cerrado (RF-09). - No se puede vincular un protocolo a un estudiante que no participó en el incidente origen. - Al cerrar un protocolo se registra automáticamente la {{fecha_cierre}}. - El coordinador puede agregar observaciones en cada cambio de estado.|",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,SE-34,SE-33,,,,0|i0005z:1,,,SE Sprint 2,,,,,,Listo,18/jun/26 1:08 PM,10236,SE-21,EPICA 2: Lógica de Negocio y Módulos Core
HU 2.3 – Registro de Incidentes y Notificaciones,SE-24,10271,Historia,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,High,Listo,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,17/jun/26 12:37 PM,18/jun/26 1:07 PM,18/jun/26 1:07 PM,18/jun/26 1:07 PM,,0,backend,frontend,incidentes,notificaciones,"|*Descripción*|*Como* inspector o coordinador, *quiero* registrar incidentes de convivencia en un formulario estructurado y recibir alertas automáticas ante casos graves *para* gestionar la convivencia escolar de forma ágil, trazable y conforme a la normativa.|
|*Criterios de Aceptación*|* Formulario de incidente guarda correctamente en BD con todos los campos obligatorios (RF-06). - Incidente con gravedad Grave o Gravísima genera notificación automática interna (RF-07). - La notificación queda registrada en la tabla {{notificaciones}} con destinatarios correctos. - El estado del incidente avanza correctamente: En Investigación → Derivado → Cerrado (RF-09). - No se permiten transiciones de estado hacia atrás (ej: Cerrado → En Investigación). - Al registrar incidente Grave o Gravísimo, la UI muestra alerta visual prominente.|",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,SE-31,SE-32,,,,0|i0005z:2,,,SE Sprint 2,,,,,,Listo,18/jun/26 1:07 PM,10236,SE-21,EPICA 2: Lógica de Negocio y Módulos Core
HU 2.2 – Gestión de Estudiantes e Importación Masiva,SE-23,10270,Historia,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,High,Listo,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,17/jun/26 12:36 PM,18/jun/26 1:07 PM,18/jun/26 1:07 PM,18/jun/26 1:07 PM,,0,backend,estudiantes,frontend,importacion,"|*Descripción*|*Como* administrador o coordinador, *quiero* importar la nómina completa de estudiantes desde un archivo CSV y gestionar sus perfiles *para* tener el registro digital de los 483 alumnos del establecimiento disponible en el sistema.|
|*Criterios de Aceptación*|* Carga exitosa de 483 alumnos desde un CSV real en menos de 5 segundos. - RUT duplicado en el mismo tenant hace upsert (actualiza datos, no duplica). - Perfil del estudiante muestra datos personales, curso, apoderado e historial cronológico de incidentes (RF-05). - Búsqueda de estudiante por nombre o RUT retorna resultados en menos de 1 segundo. - Archivo mayor a 10MB es rechazado con mensaje de error claro.|",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,SE-29,SE-30,,,,0|i0005z:4,,,SE Sprint 2,,,,,,Listo,18/jun/26 1:07 PM,10236,SE-21,EPICA 2: Lógica de Negocio y Módulos Core
HU 2.1 – RBAC Completo y Gestión de Usuarios,SE-22,10269,Historia,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,High,Listo,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,17/jun/26 12:35 PM,18/jun/26 1:07 PM,18/jun/26 1:07 PM,18/jun/26 1:07 PM,,0,backend,frontend,rbca,usuarios,"| |*Como* administrador del sistema, *quiero* controlar el acceso por roles y gestionar los usuarios del establecimiento *para* garantizar que cada funcionario solo acceda a la información y funciones correspondientes a su rol.|
|*Criterios de Aceptación*|* Middleware RBAC protege todas las rutas según la matriz de permisos definida. - El administrador puede crear, editar y desactivar usuarios del tenant. - Un docente no puede acceder a rutas de reportería ni administración (retorna 403). - El {{tenant_id}} del JWT filtra correctamente los datos via RLS en cada request autenticado.|",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,SE-27,SE-28,,,,0|i0005z:9,,,SE Sprint 2,,,,,,Listo,18/jun/26 1:07 PM,10236,SE-21,EPICA 2: Lógica de Negocio y Módulos Core
TAREA 2.4.2 — UI Módulo RICE,SE-34,10281,Tarea,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,High,Listo,Daniel Flores,62e971c2f15eecaf500dbfca,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,17/jun/26 1:21 PM,17/jun/26 9:39 PM,,17/jun/26 9:39 PM,,0,frontend,RICE,UI,,"|*Descripción*|Construir las vistas del módulo de protocolos RICE. *Subtareas:* (1) Crear {{ProtocolosPage.jsx}}: tabla de protocolos activos con filtros por estado y tipo. (2) Crear {{NuevoProtocoloPage.jsx}}: selector de tipo de protocolo (10 opciones), buscador de estudiante, selector de incidente relacionado (opcional, muestra incidentes del estudiante seleccionado), fecha de apertura, campo de observaciones iniciales. (3) Crear {{ProtocoloDetallePage.jsx}}: datos completos del protocolo, línea de tiempo visual del estado (En Investigación → Derivado → Cerrado), formulario inline para avanzar estado con observación obligatoria. (4) Agregar rutas {{/protocolos}}, {{/protocolos/nuevo}}, {{/protocolos/:id}}. (5) Proteger rutas con {{RoleRoute(['Administrador', 'Coordinador'])}}.|
|*Criterios de Aceptación*|* Al seleccionar estudiante en el formulario, carga automáticamente sus incidentes relacionados. - Línea de tiempo visual muestra el estado actual resaltado. - Avanzar estado requiere ingresar observación (campo obligatorio). - Tabla muestra badge de estado con color por etapa. - Vista responsiva desde 360px.|",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,,,,,SE-25,0|i0005z:i,,,SE Sprint 2,,3.0,,,,Listo,17/jun/26 9:39 PM,10236,SE-21,EPICA 2: Lógica de Negocio y Módulos Core
TAREA 2.3.2 — UI Formulario de Incidentes y Dashboard de Casos,SE-32,10279,Tarea,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,High,Listo,Daniel Flores,62e971c2f15eecaf500dbfca,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,17/jun/26 1:18 PM,17/jun/26 9:39 PM,,17/jun/26 9:39 PM,,0,frontend,incidentes,UI,,"|*Descripción*|Construir el formulario de registro de incidentes y la vista de gestión de casos activos. *Subtareas:* (1) Crear {{NuevoIncidentePage.jsx}}: selector de tipo de abordaje (poblado desde {{GET /tipos-abordaje}}), selector de fecha, selector de gravedad con colores (Leve/Grave/Gravísima), buscador de estudiantes involucrados (busca al escribir mínimo 2 caracteres, permite agregar múltiples), para cada estudiante: checkbox {{es_victima}} y campo observación, campo de texto para relato (mínimo 20 caracteres), campo para medidas adoptadas, botón guardar con spinner. (2) Crear {{IncidentesPage.jsx}}: grilla de casos con filtros por estado, gravedad y fecha. (3) Componente {{AlertaGrave.jsx}}: banner/toast prominente al registrar incidente Grave o Gravísimo (RF-07). (4) Crear {{IncidenteDetallePage.jsx}}: vista completa del incidente con todos los datos y botón de cambio de estado. (5) Agregar rutas: {{/incidentes}}, {{/incidentes/nuevo}}, {{/incidentes/:id}}. (6) Proteger rutas según roles: creación solo Administrador, Coordinador e Inspector.|
|*Criterios de Aceptación*|* Formulario no permite enviar con campos obligatorios vacíos. - Buscador de estudiantes muestra resultados al escribir mínimo 2 caracteres. - Al registrar incidente Grave/Gravísimo aparece alerta visual prominente (RF-07). - Grilla muestra estado actual de cada caso con badge de color. - Cambio de estado desde el detalle actualiza la UI sin recargar la página. - Vista responsiva desde 360px.|",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,,,,,SE-24,0|i00060:,,,SE Sprint 2,,5.0,,,,Listo,17/jun/26 9:39 PM,10236,SE-21,EPICA 2: Lógica de Negocio y Módulos Core
TAREA 2.2.2 — UI Gestión de Estudiantes e Importación,SE-30,10277,Tarea,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,High,Listo,Daniel Flores,62e971c2f15eecaf500dbfca,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,17/jun/26 1:15 PM,17/jun/26 9:34 PM,,17/jun/26 9:34 PM,,0,estudiantes,frontend,UI,,"|*Descripción*|Construir las vistas de listado, perfil y carga masiva de estudiantes. *Subtareas:* (1) Crear {{EstudiantesPage.jsx}}: tabla con buscador por nombre/RUT (debounce 300ms), filtro por curso. (2) Crear {{EstudiantePerfilPage.jsx}}: vista unificada con datos personales, apoderado e historial cronológico de incidentes (RF-05). (3) Crear {{ImportarEstudiantesModal.jsx}}: dropzone para arrastrar/soltar CSV o Excel, botón de descarga de plantilla CSV de ejemplo, barra de progreso durante importación, tabla de resumen post-importación con conteo de importados, actualizados y errores. (4) Agregar rutas {{/estudiantes}} y {{/estudiantes/:id}} al router. (5) Proteger rutas según roles: lectura para todos, escritura solo Administrador y Coordinador.|
|*Criterios de Aceptación*|* Buscador filtra en tiempo real con debounce de 300ms. - Perfil del estudiante muestra historial de incidentes ordenado por fecha descendente. - Importación muestra resumen con conteo de éxitos y errores. - Plantilla CSV descargable con columnas correctas y fila de ejemplo. - Vista responsiva desde 360px.|",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,,,,,SE-23,0|i00061:,,,SE Sprint 2,,3.0,,,,Listo,17/jun/26 9:34 PM,10236,SE-21,EPICA 2: Lógica de Negocio y Módulos Core
TAREA 2.1.3 — UI Gestión de Usuarios,SE-28,10275,Tarea,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,High,Listo,Daniel Flores,62e971c2f15eecaf500dbfca,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,17/jun/26 1:09 PM,17/jun/26 9:34 PM,,17/jun/26 9:34 PM,,0,frontend,UI,usuarios,,"|*Descripción*|Construir la pantalla de gestión de usuarios visible solo para el Administrador. *Subtareas:* (1) Crear {{UsuariosPage.jsx}} con tabla de usuarios: nombre, apellido, email, rol, estado (activo/inactivo). (2) Modal {{CrearUsuarioModal.jsx}}: formulario con campos nombre, apellido, email, rol, contraseña. (3) Modal {{EditarUsuarioModal.jsx}}: mismos campos sin contraseña. (4) Botón desactivar con confirmación: {{""¿Estás seguro de desactivar a [nombre]?""}}. (5) Proteger ruta {{/usuarios}} con {{RoleRoute}} que solo permita Administrador. (6) Badge de rol con colores diferenciados por rol. (7) Manejo de errores: email duplicado, último admin, etc.|
|*Criterios de Aceptación*|* Tabla muestra todos los usuarios del tenant. - Crear usuario exitoso agrega la fila a la tabla sin recargar la página. - Desactivar usuario cambia el badge de estado a ""Inactivo"". - Ruta {{/usuarios}} redirige a {{/no-autorizado}} si el rol no es Administrador. - Formulario valida campos requeridos antes de enviar. - Vista responsiva desde 360px.|",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,,,,,SE-22,0|i00063:,,,SE Sprint 2,,3.0,,,,Listo,17/jun/26 9:34 PM,10236,SE-21,EPICA 2: Lógica de Negocio y Módulos Core
TAREA 2.4.1 — API Protocolos RICE,SE-33,10280,Tarea,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,High,Listo,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,17/jun/26 1:20 PM,17/jun/26 2:54 PM,17/jun/26 2:41 PM,17/jun/26 2:54 PM,,0,backend,protocolos,RICE,,"|*Descripción*|Desarrollar los endpoints del módulo RICE con validación de jerarquía estudiante-incidente y trazabilidad de estados. *Endpoints:* {{GET /api/v1/protocolos}} con filtros. {{GET /api/v1/protocolos/:id}} — detalle del protocolo. {{POST /api/v1/protocolos}} — abrir nuevo protocolo. {{PATCH /api/v1/protocolos/:id/estado}} — avanzar estado con observación. {{GET /api/v1/tipos-protocolo}} — listar los 10 tipos. *Subtareas:* (1) Crear {{protocolosController.js}} y {{protocolosService.js}}. (2) Crear {{protocolos.routes.js}} con {{requireRole('Administrador', 'Coordinador')}}. (3) Endpoint {{POST /protocolos}}: body con {{estudiante_id}}, {{tipo_protocolo_id}}, {{fecha_apertura}}, {{incidente_id}} (opcional), {{observaciones}}. Si {{incidente_id}} presente: validar que {{estudiante_id}} existe en {{incidente_estudiantes}} para ese incidente. Estado inicial siempre {{En Investigación}}. (4) Endpoint {{PATCH /protocolos/:id/estado}}: valida transiciones (En Investigación → Derivado, Derivado → Cerrado). Al cerrar: establece {{fecha_cierre = NOW()}}. (5) Registrar todos los eventos en auditoría.|
|*Criterios de Aceptación*|* Abrir protocolo con {{estudiante_id}} que no pertenece al {{incidente_id}} → 400 con mensaje claro. - Estado inicial siempre es {{En Investigación}}. - Transición inválida de estado → 400 {{""Transición de estado no permitida""}}. - Al cerrar protocolo, {{fecha_cierre}} se establece automáticamente. - {{GET /protocolos?estado=Derivado}} retorna solo protocolos en ese estado. - Auditoría registra apertura y cambios de estado.|",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,,,,,SE-25,0|i00067:,,,SE Sprint 2,,4.0,,,,Listo,17/jun/26 2:54 PM,10236,SE-21,EPICA 2: Lógica de Negocio y Módulos Core
TAREA 1.2.3 — Middlewares RBAC 5 roles,SE-14,10197,Tarea,Listo,SE,SIGA-escolar,software,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,Medium,Listo,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,12/jun/26 12:53 AM,17/jun/26 1:43 PM,17/jun/26 1:35 PM,17/jun/26 1:43 PM,,0,backend,rbac,seguridad,,"Implementar middlewares de autorización para los 5 roles del sistema. Roles: admin (acceso total), coordinador (incidentes y reportería), directivo (solo lectura reportería), inspector (registro incidentes), docente (solo sus cursos). Subtareas: (1) Middleware requireRole(...roles): verifica req.user.rol en lista de roles permitidos. (2) Middleware setTenantContext: establece tenant_id en conexión PostgreSQL para activar RLS. (3) Proteger rutas según matriz de permisos. (4) Tests en Postman para cada combinación rol/ruta.

Criterios de Aceptación- 
Ruta protegida con rol insuficiente retorna 403 Forbidden. - Docente no puede acceder a reportería (403). - Inspector puede crear incidentes pero no acceder al dashboard analítico (403). - tenant_id se establece correctamente y RLS filtra sin contaminación entre tenants. - Matriz de permisos documentada en README del backend.",,Marcelo Andrés Acevedo Silva,712020:38e85f3a-1a40-4f94-a457-d073933be4aa,,,,,,,,,,,,,SE-5,0|i0006f:,,,SE Sprint 2,,4.0,,,,Listo,17/jun/26 1:43 PM,10187,SE-4,ÉPICA 1: Infraestructura y Core del Sistema
